"District","week","TForce"
"Al Resafa",2467,1.13104756
"Al Resafa",2468,1.13104756
"Al Resafa",2469,1.13104756
"Al Resafa",2470,1.13104756
"Al Resafa",2471,1.13104756
"Al Resafa",2472,1.13104756
"Al Resafa",2473,1.13104756
"Al Resafa",2474,1.13104756
"Al Resafa",2475,1.13104756
"Al Resafa",2476,1.13104756
"Al Resafa",2477,1.13104756
"Al Resafa",2478,1.13104756
"Al Resafa",2479,1.13104756
"Al Resafa",2480,1.13104756
"Al Resafa",2481,1.13104756
"Al Resafa",2482,1.13104756
"Al Resafa",2483,1.13104756
"Al Resafa",2484,1.13104756
"Al Resafa",2485,1.13104756
"Al Resafa",2486,1.13104756
"Al Resafa",2487,1.13104756
"Al Resafa",2488,0.999193633
"Al Resafa",2489,0.999193633
"Al Resafa",2490,0.999193633
"Al Resafa",2491,0.999193633
"Al Resafa",2492,0.999193633
"Al Resafa",2493,0.999193633
"Al Resafa",2494,0.999193633
"Al Resafa",2495,0.999193633
"Al Resafa",2496,1.237953786
"Al Resafa",2497,1.237953786
"Al Resafa",2498,1.237953786
"Al Resafa",2499,1.237953786
"Al Resafa",2500,1.237953786
"Al Resafa",2501,1.234229497
"Al Resafa",2502,1.234229497
"Al Resafa",2503,1.234229497
"Al Resafa",2504,1.234229497
"Al Resafa",2505,1.234229497
"Al Resafa",2506,1.234229497
"Al Resafa",2507,1.234229497
"Al Resafa",2508,1.234229497
"Al Resafa",2509,0.972784383
"Al Resafa",2510,0.972784383
"Al Resafa",2511,0.972784383
"Al Resafa",2512,0.972784383
"Al Resafa",2513,0.972784383
"Al Resafa",2514,0.972784383
"Al Resafa",2515,0.972784383
"Al Resafa",2516,0.972784383
"Al Resafa",2517,0.972784383
"Al Resafa",2518,0.522890227
"Al Resafa",2519,0.522890227
"Al Resafa",2520,0.522890227
"Al Resafa",2521,0.522890227
"Al Resafa",2522,0.522890227
"Al Resafa",2523,0.522890227
"Al Resafa",2524,0.522890227
"Al Resafa",2525,0.522890227
"Al Resafa",2526,0.522890227
"Al Resafa",2527,0.522890227
"Al Resafa",2528,0.522890227
"Al Resafa",2529,0.522890227
"Al Resafa",2530,0.522890227
"Al Resafa",2531,0.522890227
"Al Resafa",2532,0.522890227
"Al Resafa",2533,0.522890227
"Al Resafa",2534,0.522890227
"Al Resafa",2535,0.522890227
"Al Resafa",2536,0.522890227
"Al Resafa",2537,0.522890227
"Al Resafa",2538,0.522890227
"Al Resafa",2539,0.522890227
"Al Sadr",2293,2.009476971
"Al Sadr",2294,2.009476971
"Al Sadr",2295,2.009476971
"Al Sadr",2296,2.009476971
"Al Sadr",2297,2.009476971
"Al Sadr",2298,2.009476971
"Al Sadr",2299,2.009476971
"Al Sadr",2300,2.009476971
"Al Sadr",2301,1.662180349
"Al Sadr",2302,1.662180349
"Al Sadr",2303,1.662180349
"Al Sadr",2304,1.662180349
"Al Sadr",2305,1.662180349
"Al Sadr",2306,1.662180349
"Al Sadr",2307,1.662180349
"Al Sadr",2308,1.662180349
"Al Sadr",2309,1.662180349
"Al Sadr",2310,1.662180349
"Al Sadr",2311,1.662180349
"Al Sadr",2312,1.662180349
"Al Sadr",2313,1.662180349
"Al Sadr",2314,1.662180349
"Al Sadr",2315,1.662180349
"Al Sadr",2316,1.662180349
"Al Sadr",2317,1.662180349
"Al Sadr",2318,1.662180349
"Al Sadr",2319,2.493270523
"Al Sadr",2320,2.493270523
"Al Sadr",2321,2.493270523
"Al Sadr",2322,2.493270523
"Al Sadr",2323,1.994616419
"Al Sadr",2324,1.994616419
"Al Sadr",2325,1.994616419
"Al Sadr",2326,1.994616419
"Al Sadr",2327,1.994616419
"Al Sadr",2328,1.745289366
"Al Sadr",2329,1.745289366
"Al Sadr",2330,1.745289366
"Al Sadr",2331,1.745289366
"Al Sadr",2332,1.745289366
"Al Sadr",2333,1.745289366
"Al Sadr",2334,1.745289366
"Al Sadr",2335,1.745289366
"Al Sadr",2336,1.745289366
"Al Sadr",2337,1.745289366
"Al Sadr",2338,1.745289366
"Al Sadr",2339,1.745289366
"Al Sadr",2340,1.9244341
"Al Sadr",2341,1.9244341
"Al Sadr",2342,1.9244341
"Al Sadr",2343,1.9244341
"Al Sadr",2344,1.9244341
"Al Sadr",2345,2.405542625
"Al Sadr",2346,2.405542625
"Al Sadr",2347,2.405542625
"Al Sadr",2348,2.405542625
"Al Sadr",2349,2.405542625
"Al Sadr",2350,2.405542625
"Al Sadr",2351,2.405542625
"Al Sadr",2352,2.405542625
"Al Sadr",2353,1.202771313
"Al Sadr",2354,1.202771313
"Al Sadr",2355,1.202771313
"Al Sadr",2356,1.202771313
"Al Sadr",2357,1.202771313
"Al Sadr",2358,1.443325575
"Al Sadr",2359,1.443325575
"Al Sadr",2360,1.443325575
"Al Sadr",2361,1.443325575
"Al Sadr",2362,1.202771313
"Al Sadr",2363,1.202771313
"Al Sadr",2364,1.202771313
"Al Sadr",2365,1.202771313
"Al Sadr",2366,1.202771313
"Al Sadr",2367,1.202771313
"Al Sadr",2368,1.202771313
"Al Sadr",2369,1.202771313
"Al Sadr",2370,1.202771313
"Al Sadr",2371,0.721662788
"Al Sadr",2372,0.721662788
"Al Sadr",2373,0.721662788
"Al Sadr",2374,0.721662788
"Al Sadr",2375,0.721662788
"Al Sadr",2376,0.721662788
"Al Sadr",2377,0.721662788
"Al Sadr",2378,0.721662788
"Al Sadr",2379,0.721662788
"Al Sadr",2380,0.721662788
"Al Sadr",2381,0.721662788
"Al Sadr",2382,0.721662788
"Al Sadr",2383,0.721662788
"Al Sadr",2384,0.721662788
"Al Sadr",2385,0.721662788
"Al Sadr",2386,0.721662788
"Al Sadr",2387,0.721662788
"Al Sadr",2388,0.721662788
"Al Sadr",2389,0.721662788
"Al Sadr",2390,0.721662788
"Al Sadr",2391,0.721662788
"Al Sadr",2392,0.092275252
"Al Sadr",2393,0.092275252
"Al Sadr",2394,0.092275252
"Al Sadr",2395,0.092275252
"Al Sadr",2396,0.092275252
"Al Sadr",2397,0.092275252
"Al Sadr",2398,0.092275252
"Al Sadr",2399,0.092275252
"Al Sadr",2400,0.092275252
"Al Sadr",2401,0.092275252
"Al Sadr",2402,0.092275252
